ObjectID,district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,total_all,Link
783,1917820,IA,Louisa-Muscatine Comm School District,-91.203937,41.305624,,1,,1,,,2,
789,1918330,IA,Manson Northwest Webster Comm School District,-94.535475,42.529745,,,,,,,0,
792,1918630,IA,Marcus-Meriden-Cleghorn Comm School District,-95.80465,42.82341,,,,,,,0,
795,1918690,IA,Marion Independent School District,-91.593806,42.022974,,,,3,,,3,https://www.marion-isd.org/covid-19-information/
798,1918720,IA,Marshalltown Comm School District,-92.907823,42.03633,,6,,3,,,9,https://www.marshalltown.k12.ia.us/parents/covid-19-updates/
801,1918780,IA,Mason City Comm School District,-93.198384,43.137041,,10,,10,,,20,https://returntolearn.masoncityschools.org/covid-tracker-dashboard
804,1918930,IA,Mediapolis Comm School District,-91.16443,41.007935,,2,,,,,2,
807,1919140,IA,Mid-Prairie Comm School District,-91.836565,41.46894,,8,,2,,,10,https://docs.google.com/spreadsheets/d/1Ca0oPNWYdcY5cGW04TY0AAowV2SIEmjs_XC93Fa0DGk/edit#gid=1451979338
878,1919440,IA,Missouri Valley Comm School District,-95.89455,41.559417,,4,,,,,4,
880,1919740,IA,Mormon Trail Comm School District,-93.496615,40.859405,,1,,,,,1,
882,1919860,IA,Mount Ayr Comm School District,-94.226537,40.718211,,4,,1,,,5,https://sites.google.com/mtayrschools.org/macs-return-2-learn/home?authuser=0
884,1919890,IA,Mount Pleasant Comm School District,-91.548875,40.967112,,18,,7,,,25,https://www.mtpcsd.org/apps/pages/index.jsp?uREC_ID=1973667&type=d&pREC_ID=2082396
886,1920040,IA,Mount Vernon Comm School District,-91.427761,41.920266,,1,,,,,1,https://www.mountvernon.k12.ia.us/
888,1920130,IA,Muscatine Comm School District,-91.067917,41.443598,,6,,2,,,8,
889,1920250,IA,Nevada Comm School District,-93.439913,42.021048,,8,,2,,,10,https://www.nevadacubs.org/covid-19-information/attendance-illness-data/
890,1920340,IA,New Hampton Comm School District,-92.325925,43.059409,,2,,,,,2,
891,1920460,IA,New London Comm School District,-91.40174,40.92534,,12,,,,,12,(Under Week X Update)
892,1920610,IA,Newton Comm School District,-93.069631,41.699307,,7,,4,,,11,https://docs.google.com/spreadsheets/d/136f4HJb2ZLSQBFFG1NdOpc6wgRBTgs1GzXlvtQLfk4k/edit#gid=0
893,1920910,IA,North Polk Comm School District,-93.61039,41.816772,,5,,2,,,7,https://www.northpolk.org/Page/2818
894,1920940,IA,North Scott Comm School District,-90.580268,41.65261,,25,,5,,,30,
895,1921090,IA,Northeast Comm School District,-90.385369,41.96649,,1,,,,,1,
896,1921240,IA,Norwalk Comm School District,-93.684627,41.467278,,17,,1,,,18,https://docs.google.com/document/d/1IlEc-nxrvxNOEms3X9Ia1FjUdaa1pZSzKZD62fsP7qY/edit
897,1921630,IA,Oelwein Comm School District,-91.902567,42.673974,,1,,2,,,3,https://www.oelweinschools.com/covid-19/?fbclid=IwAR1aQ-VKvBDEFDxL_OOSNEeH-wNNURdTNjoPGdpRZSffV9OR5AJk8DCg1Pg
898,1921660,IA,Ogden Comm School District,-94.03077,42.038545,,19,,12,,,31,https://www.ogdenschools.org/covid19/?fbclid=IwAR2PNlDgqn4cT9UIy6DUper2Y8JFNVUdspZ2kDvVlmHf4lE3SipKG8IjRQs
899,1900021,IA,Okoboji Comm School District,-95.15341,43.325885,,2,,,,,2,https://www.okobojischools.org/domain/265
900,1921840,IA,Osage Comm School District,-92.807069,43.279308,,5,,1,,,6,https://www.osageschools.com/covid-19
901,1921870,IA,Oskaloosa Comm School District,-92.643815,41.293985,,2,,2,,,4,https://www.oskycsd.org/updates/index
902,1922110,IA,Ottumwa Comm School District,-92.394354,41.02542,,7,,8,,,15,https://www.ottumwaschools.com/updates
903,1900025,IA,Panorama Comm School District,-94.3628,41.691415,,,,1,,,1,
904,1922380,IA,Paton-Churdan Comm School District,-94.475395,42.153535,,,,1,,,1,https://www.paton-churdan.k12.ia.us/covid-19-numbers-update
905,1922470,IA,Pella Comm School District,-92.91524,41.40538,,6,,,,,6,https://coronavirus.pellaschools.org/stats/
906,1922530,IA,Perry Comm School District,-94.1018,41.838485,,1,,,,,1,
907,1923160,IA,Pleasantville Comm School District,-93.27374,41.388307,,7,,,,,7,https://www.pvillecsd.org/covid19/stats/
908,1910340,IA,River Valley Comm School District,-95.782895,42.476595,,,,2,,,2,https://www.rvwolverines.org/o/rvcsd/news
909,1900027,IA,Riverside Comm School District,-95.416919,41.23638,,4,,,,,4,https://www.riversideschools.org/news?org=rcsd
910,1924870,IA,Roland-Story Comm School District,-93.58891,42.188076,,11,,3,,,14,https://sites.google.com/donovan-group.com/roland-story-covid-19-status/home?fbclid=IwAR3ny747WEthsW9b7gxXKlaeMcYP2AHprf6VG-gx5Q-cOPd1l_S9r8VeXDg
911,1925050,IA,Ruthven-Ayrshire Comm School District,-94.899065,43.1294,,,,,,,0,
912,1925320,IA,Saydel Comm School District,-93.604353,41.665031,,19,,3,,,22,https://www.saydel.k12.ia.us/families/covid-19-coronavirus-communications.cfm
913,1925590,IA,Sergeant Bluff-Luton Comm School District,-96.355546,42.398897,,5,,3,,,8,
914,1926070,IA,Shenandoah Comm School District,-95.368745,40.757214,,1,,,,,1,
915,1900015,IA,Sibley-Ocheyedan Comm School District,-95.736412,43.40563,,18,,10,,,28,https://sites.google.com/thegenerals.org/s-ocovid-19information/covid-19-district-status?authuser=0
916,1926280,IA,Sigourney Comm School District,-92.194817,41.330063,,2,,,,,2,
917,1926370,IA,Sioux Center Comm School District,-96.16792,43.086417,,1,,1,,,2,https://www.scwarriors.org/return-to-learn-62befa83
918,1900023,IA,Sioux Central Comm School District,-95.151042,42.87438,,10,,9,,,19,
919,1926580,IA,Solon Comm School District,-91.495348,41.80539,,4,,,,,4,https://www.solon.k12.ia.us/o/solon-csd/page/district-return-to-learn
920,1926640,IA,South Hamilton Comm School District,-93.644962,42.302486,,6,,1,,,7,https://shhawks.net/summary-of-total-shcsd-absences-due-to-covid-19/?fbclid=IwAR05_mFhiXWtdYPCETxBZ5D0iwzAHD52uqRCcMbE_W5jXPiVCnLJhx-RJ24
921,1926730,IA,South Tama County,-92.581643,41.9758,,1,,,,,1,https://docs.google.com/spreadsheets/d/1cDQh49KVVstY-OFoxy210jHIUYttsc_LMcayOq9lHi4/edit#gid=803084207
922,1926790,IA,South Winneshiek Comm School District,-91.86609,43.184665,,2,,,,,2,
923,1926820,IA,Southeast Polk Comm School District,-93.43486,41.600353,,9,,11,,,20,https://www.southeastpolk.org/return-learn-plan-2020-2021/covid-19-positive-case-update/?fbclid=IwAR0vpI43KLf8-llfJfO9FNQnMMfUEffaJo8SKYH8CmNJdp23JQqojcgARG8
924,1999019,IA,Southeast Webster Grand Comm School District,-94.108035,42.345535,,1,,,,,1,
925,1927390,IA,Storm Lake Comm School District,-95.20203,42.64495,,1,,9,,,10,
926,1927870,IA,Tipton Comm School District,-91.12439,41.771067,,,,,,,0,
927,1927960,IA,Treynor Comm School District,-95.60967,41.23244,,6,,,,,6,
928,1928170,IA,Twin Cedars Comm School District,-92.92627,41.219052,,,,1,,,1,
929,1928560,IA,United Comm School District,-93.776713,42.025279,,1,,,,,1,https://www.unitedcomets.org/vnews/display.v/SEC/About%20our%20School%7CCOVID-19%20Information%3E%3ECommunicating%20Positive%20Cases
930,1928680,IA,Urbandale Comm School District,-93.770822,41.63787,,7,,1,,,8,https://www.urbandaleschools.com/current-covid-19-status/
931,1929490,IA,Waco Comm School District,-91.659655,41.14804,,3,,,,,3,
932,1930240,IA,Washington Comm School District,-91.69173,41.29993,,6,,,,,6,https://docs.google.com/spreadsheets/d/1HVmAfvRxkxwBMnqxrjj0Vo-bd0m8SKNjbnvKHuHDulM/edit?ts=5f5f638e#gid=0
933,1930510,IA,Waukee Comm School District,-93.861963,41.600393,,22,,7,,,29,https://waukeeschools.org/rtl/covid-19-information-for-families/
