district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
102910,AL,Russellville City,-87.737336,34.527001,,,,,,,
100185,AL,Saraland City,-88.07212,30.79915,,,,,,,
100189,AL,Satsuma City,-88.06763,30.84754,,,,,,,
102940,AL,Scottsboro City,-86.031252,34.671104,,,,,,,
102970,AL,Selma City,-87.02282,32.41279,,,,,,,
103000,AL,Sheffield City,-87.701838,34.764081,,,,,,,
103030,AL,Shelby County,-86.61207,33.20847,,,,,,,
103062,AL,St Clair County,-86.269665,33.819883,,,,,,,
103090,AL,Sumter County,-88.183237,32.615442,,,,,,,
103120,AL,Sylacauga City,-86.250803,33.168931,,,,,,,
103150,AL,Talladega City,-86.10269,33.43451,,,,,,,
103180,AL,Talladega County,-86.10269,33.43451,,,,,,,
103210,AL,Tallapoosa County,-85.754478,32.830679,,,,,,,
103240,AL,Tallassee City,-85.893245,32.536827,,,,,,,
103270,AL,Tarrant City,-86.780557,33.572954,,,,,,,
103300,AL,Thomasville City,-87.73843,31.91141,,,,,,,
103330,AL,Troy City,-85.96762,31.811395,,,,,,,
100013,AL,Trussville City,-86.607755,33.62072,,,,,,,
103360,AL,Tuscaloosa City,-87.56225,33.20253,,,,,,,
103390,AL,Tuscaloosa County,-87.56225,33.20253,,,,,,,
103420,AL,Tuscumbia City,-87.700169,34.737936,,,,,,,
103430,AL,Vestavia Hills City,-86.79055,33.444585,,,,,,,
103450,AL,Walker County,-87.277625,33.83424,,,,,,,
103480,AL,Washington County,-88.27641,31.47104,,,,,,,
103510,AL,Wilcox County,-87.176828,32.046547,,,,,,,
103540,AL,Winfield City,-87.81726,33.931565,,,,,,,
103580,AL,Winston County,-87.40246,34.14708,,,,,,,
502250,AR,ALMA SCHOOL DISTRICT,-94.219508,35.479474,,11,,6,11,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502280,AR,ALPENA SCHOOL DISTRICT,-93.29354,36.29352,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502430,AR,ARKADELPHIA SCHOOL DISTRICT,-93.059833,34.123731,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502550,AR,ARMOREL SCHOOL DISTRICT,-89.79835,35.92022,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502580,AR,ASHDOWN SCHOOL DISTRICT,-94.134061,33.674249,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502610,AR,ATKINS SCHOOL DISTRICT,-92.937527,35.244861,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502670,AR,AUGUSTA SCHOOL DISTRICT,-91.365391,35.279913,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502700,AR,BALD KNOB SCHOOL DISTRICT,-91.572147,35.313496,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502730,AR,BARTON-LEXA SCHOOL DISTRICT,-90.76811,34.55102,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
